unlearning_classes:1
unlearning_grad:[tensor(128.4256, device='cuda:0'), tensor(119.0866, device='cuda:0'), tensor(141.8671, device='cuda:0'), tensor(137.7695, device='cuda:0'), tensor(134.4064, device='cuda:0'), tensor(135.4009, device='cuda:0'), tensor(123.7654, device='cuda:0'), tensor(130.7445, device='cuda:0'), tensor(125.6045, device='cuda:0'), tensor(124.2216, device='cuda:0')]
unlearning_grad:[tensor(130.4161, device='cuda:0'), tensor(105.5709, device='cuda:0'), tensor(131.3278, device='cuda:0'), tensor(129.0792, device='cuda:0'), tensor(128.2571, device='cuda:0'), tensor(126.0424, device='cuda:0'), tensor(117.0314, device='cuda:0'), tensor(117.8693, device='cuda:0'), tensor(111.2994, device='cuda:0'), tensor(114.1228, device='cuda:0')]
unlearning_grad:[tensor(121.8063, device='cuda:0'), tensor(112.1830, device='cuda:0'), tensor(130.3083, device='cuda:0'), tensor(128.7918, device='cuda:0'), tensor(124.7175, device='cuda:0'), tensor(125.5624, device='cuda:0'), tensor(117.3838, device='cuda:0'), tensor(123.3274, device='cuda:0'), tensor(113.8011, device='cuda:0'), tensor(115.1291, device='cuda:0')]
unlearning_grad:[tensor(126.2918, device='cuda:0'), tensor(113.7468, device='cuda:0'), tensor(135.7956, device='cuda:0'), tensor(134.1491, device='cuda:0'), tensor(136.4876, device='cuda:0'), tensor(133.0197, device='cuda:0'), tensor(118.5113, device='cuda:0'), tensor(124.2271, device='cuda:0'), tensor(117.7825, device='cuda:0'), tensor(117.2789, device='cuda:0')]
unlearning_grad:[tensor(128.9137, device='cuda:0'), tensor(117.4052, device='cuda:0'), tensor(138.2980, device='cuda:0'), tensor(140.7698, device='cuda:0'), tensor(133.5562, device='cuda:0'), tensor(134.2538, device='cuda:0'), tensor(117.5875, device='cuda:0'), tensor(126.0672, device='cuda:0'), tensor(124.9518, device='cuda:0'), tensor(124.2791, device='cuda:0')]
unlearning_grad:[tensor(126.7415, device='cuda:0'), tensor(114.3533, device='cuda:0'), tensor(139.2684, device='cuda:0'), tensor(137.2081, device='cuda:0'), tensor(130.7617, device='cuda:0'), tensor(135.5976, device='cuda:0'), tensor(120.8644, device='cuda:0'), tensor(127.1436, device='cuda:0'), tensor(125.7270, device='cuda:0'), tensor(122.8235, device='cuda:0')]
unlearning_grad:[tensor(118.3400, device='cuda:0'), tensor(106.5882, device='cuda:0'), tensor(131.1852, device='cuda:0'), tensor(135.0067, device='cuda:0'), tensor(128.5370, device='cuda:0'), tensor(126.4709, device='cuda:0'), tensor(116.6645, device='cuda:0'), tensor(122.3278, device='cuda:0'), tensor(114.8507, device='cuda:0'), tensor(113.7825, device='cuda:0')]
unlearning_grad:[tensor(125.5172, device='cuda:0'), tensor(113.3544, device='cuda:0'), tensor(135.5634, device='cuda:0'), tensor(132.1613, device='cuda:0'), tensor(128.5941, device='cuda:0'), tensor(130.4487, device='cuda:0'), tensor(115.6646, device='cuda:0'), tensor(121.2435, device='cuda:0'), tensor(117.2850, device='cuda:0'), tensor(127.1506, device='cuda:0')]
unlearning_grad:[tensor(120.7034, device='cuda:0'), tensor(111.5451, device='cuda:0'), tensor(132.2266, device='cuda:0'), tensor(128.5843, device='cuda:0'), tensor(131.8410, device='cuda:0'), tensor(123.7564, device='cuda:0'), tensor(110.1265, device='cuda:0'), tensor(117.6504, device='cuda:0'), tensor(118.9756, device='cuda:0'), tensor(117.2299, device='cuda:0')]
unlearning_grad:[tensor(125.0689, device='cuda:0'), tensor(108.6975, device='cuda:0'), tensor(131.8609, device='cuda:0'), tensor(132.9520, device='cuda:0'), tensor(129.7551, device='cuda:0'), tensor(130.9563, device='cuda:0'), tensor(120.6311, device='cuda:0'), tensor(123.1233, device='cuda:0'), tensor(115.3861, device='cuda:0'), tensor(119.4673, device='cuda:0')]
unlearning_grad:[tensor(114.9912, device='cuda:0'), tensor(105.5235, device='cuda:0'), tensor(126.0725, device='cuda:0'), tensor(122.9704, device='cuda:0'), tensor(121.8764, device='cuda:0'), tensor(122.8053, device='cuda:0'), tensor(112.1925, device='cuda:0'), tensor(118.8089, device='cuda:0'), tensor(109.2786, device='cuda:0'), tensor(107.7046, device='cuda:0')]
unlearning_grad:[tensor(122.2097, device='cuda:0'), tensor(114.5875, device='cuda:0'), tensor(132.3912, device='cuda:0'), tensor(131.3336, device='cuda:0'), tensor(131.3453, device='cuda:0'), tensor(130.9819, device='cuda:0'), tensor(115.2721, device='cuda:0'), tensor(124.0865, device='cuda:0'), tensor(116.7733, device='cuda:0'), tensor(117.9747, device='cuda:0')]
unlearning_grad:[tensor(121.7307, device='cuda:0'), tensor(125.5974, device='cuda:0'), tensor(132.7211, device='cuda:0'), tensor(130.2021, device='cuda:0'), tensor(129.5425, device='cuda:0'), tensor(128.4007, device='cuda:0'), tensor(115.4211, device='cuda:0'), tensor(123.3885, device='cuda:0'), tensor(119.5018, device='cuda:0'), tensor(116.1950, device='cuda:0')]
